JD,UT Date,Camera,FWHM,Limit,Mag,Mag Error,flux(mJy),flux_err,Filter
2458238.7,2018-04-30.1961269,bg,1.5,15.224,>15.224,99.99,2.903,0.625,V
2458238.701,2018-04-30.1974077,bg,1.49,14.964,14.826,0.193,4.5,0.794,V
2458240.743,2018-05-02.2388689,bl,1.55,15.992,15.32,0.118,2.706,0.291,g
2458240.744,2018-05-02.2400956,bl,1.47,15.991,15.339,0.12,2.657,0.292,g
2458240.745,2018-05-02.2413127,bl,1.5,15.966,15.283,0.117,2.798,0.298,g
2458240.815,2018-05-02.3110314,bg,1.74,15.271,14.908,0.157,4.174,0.598,V
2458240.816,2018-05-02.3123089,bg,1.8,15.28,14.976,0.166,3.922,0.593,V
2458240.818,2018-05-02.3135832,bg,1.72,15.358,15.182,0.186,3.243,0.552,V
2458241.8,2018-05-03.2959138,bh,1.36,15.709,14.808,0.095,4.58,0.399,V
2458241.801,2018-05-03.2971793,bh,1.39,15.695,14.967,0.112,3.958,0.405,V
2458241.802,2018-05-03.2984506,bh,1.38,15.645,14.84,0.104,4.448,0.424,V
2458242.478,2018-05-03.9736482,bp,1.51,16.348,15.202,0.076,3.013,0.21,g
2458243.467,2018-05-04.9632693,bp,1.58,16.374,15.264,0.079,2.847,0.206,g
2458243.468,2018-05-04.9644870,bp,1.56,16.535,15.188,0.063,3.053,0.178,g
2458243.47,2018-05-04.9656965,bp,1.48,16.258,15.191,0.082,3.046,0.229,g
2458243.491,2018-05-04.9870494,bo,1.48,15.819,15.794,0.214,1.748,0.342,g
2458243.492,2018-05-04.9882569,bo,1.53,16.112,15.245,0.099,2.899,0.262,g
2458243.682,2018-05-05.1778450,bk,1.42,16.463,15.301,0.075,2.752,0.189,g
2458243.683,2018-05-05.1790631,bk,1.48,16.482,15.294,0.073,2.768,0.186,g
2458243.684,2018-05-05.1802840,bk,1.46,16.433,15.252,0.074,2.879,0.194,g
2458244.497,2018-05-05.9927504,bp,1.59,16.498,15.374,0.078,2.572,0.183,g
2458244.498,2018-05-05.9943429,bp,1.55,16.528,15.308,0.071,2.736,0.178,g
2458244.499,2018-05-05.9955559,bp,1.58,16.424,15.311,0.079,2.727,0.196,g
2458244.527,2018-05-06.0229737,bo,1.61,16.42,15.241,0.074,2.908,0.197,g
2458244.528,2018-05-06.0241795,bo,1.56,16.284,15.388,0.096,2.539,0.223,g
2458244.529,2018-05-06.0253974,bo,1.57,16.407,15.466,0.092,2.364,0.199,g
2458244.753,2018-05-06.2489324,bg,1.49,15.87,14.892,0.089,4.236,0.345,V
2458244.754,2018-05-06.2502303,bg,1.49,15.979,14.96,0.086,3.978,0.312,V
2458244.797,2018-05-06.2931177,bl,1.57,16.434,15.262,0.074,2.853,0.194,g
2458244.798,2018-05-06.2943443,bl,1.49,16.43,15.337,0.08,2.661,0.195,g
2458244.799,2018-05-06.2955616,bl,1.44,16.267,15.297,0.09,2.763,0.226,g
2458244.91,2018-05-06.4060819,bc,1.37,14.743,>14.743,99.99,4.778,0.973,V
2458244.911,2018-05-06.4073582,bc,1.32,15.097,14.681,0.149,5.146,0.703,V
2458244.954,2018-05-06.4502812,bd,1.49,15.198,>15.198,99.99,3.105,0.64,V
2458244.955,2018-05-06.4515560,bd,1.49,14.764,>14.764,99.99,4.091,0.954,V
2458245.519,2018-05-07.0151543,bp,1.6,16.547,15.432,0.078,2.437,0.175,g
2458245.52,2018-05-07.0164052,bp,1.6,16.418,15.219,0.072,2.968,0.197,g
2458245.522,2018-05-07.0176251,bp,1.56,16.545,15.243,0.066,2.902,0.175,g
2458245.523,2018-05-07.0188642,bo,1.54,16.48,15.266,0.072,2.841,0.186,g
2458245.524,2018-05-07.0200793,bo,1.45,16.587,15.207,0.061,3.003,0.168,g
2458245.525,2018-05-07.0212869,bo,1.45,16.481,15.327,0.076,2.688,0.186,g
2458245.7,2018-05-07.1959011,bk,2.33,16.654,15.136,0.054,3.204,0.158,g
2458245.701,2018-05-07.1971195,bk,2.33,16.394,15.289,0.079,2.783,0.201,g
2458245.76,2018-05-07.2562627,bl,2.35,16.594,15.252,0.064,2.88,0.167,g
2458245.931,2018-05-07.4268663,bd,1.43,16.394,14.982,0.06,3.901,0.213,V
2458245.932,2018-05-07.4281378,bd,1.45,16.431,14.931,0.055,4.086,0.205,V
2458245.933,2018-05-07.4294115,bd,1.49,16.409,14.872,0.053,4.313,0.21,V
2458245.984,2018-05-07.4801405,bc,1.32,15.903,14.775,0.077,4.717,0.334,V
2458245.985,2018-05-07.4814127,bc,1.34,16.047,14.895,0.076,4.224,0.293,V
2458245.987,2018-05-07.4826898,bc,1.38,16.087,14.912,0.074,4.162,0.282,V
2458246.776,2018-05-08.2720704,bt,1.54,16.964,15.22,0.044,2.965,0.119,g
2458246.777,2018-05-08.2732807,bt,1.48,16.801,15.302,0.055,2.749,0.138,g
2458246.778,2018-05-08.2744988,bt,1.53,16.988,15.311,0.047,2.727,0.116,g
2458246.796,2018-05-08.2924118,bk,1.46,16.627,15.379,0.069,2.561,0.162,g
2458246.799,2018-05-08.2948453,bk,1.47,16.574,15.276,0.066,2.817,0.171,g
2458246.966,2018-05-08.4624559,bc,1.46,15.434,14.917,0.136,4.141,0.515,V
2458246.968,2018-05-08.4637215,bc,1.46,15.615,14.767,0.1,4.757,0.436,V
2458247.06,2018-05-08.5560693,bd,1.43,16.434,14.953,0.056,4.009,0.205,V
2458247.061,2018-05-08.5573355,bd,1.43,16.378,14.901,0.056,4.204,0.216,V
2458247.063,2018-05-08.5586105,bd,1.44,16.34,14.934,0.06,4.076,0.223,V
2458247.773,2018-05-09.2695515,bk,1.5,16.184,15.518,0.12,2.254,0.245,g
2458247.775,2018-05-09.2707629,bk,1.53,15.966,15.594,0.156,2.1,0.299,g
2458247.776,2018-05-09.2719824,bk,1.62,15.65,15.254,0.152,2.874,0.399,g
2458247.778,2018-05-09.2741361,bt,1.57,17.025,15.273,0.043,2.824,0.113,g
2458247.779,2018-05-09.2753535,bt,1.55,17.035,15.311,0.045,2.726,0.112,g
2458247.78,2018-05-09.2765826,bt,1.52,17.082,15.352,0.044,2.627,0.107,g
2458247.95,2018-05-09.4463828,bc,1.88,15.414,14.836,0.129,4.465,0.525,V
2458247.952,2018-05-09.4476856,bc,1.8,15.359,14.857,0.139,4.375,0.557,V
2458247.953,2018-05-09.4489606,bc,1.73,15.772,14.778,0.088,4.706,0.377,V
2458248.06,2018-05-09.5565634,bd,1.46,16.471,14.784,0.046,4.678,0.198,V
2458248.062,2018-05-09.5578380,bd,1.51,16.381,14.843,0.053,4.435,0.215,V
2458248.063,2018-05-09.5591156,bd,1.52,16.518,14.904,0.049,4.191,0.19,V
2458248.853,2018-05-10.3493917,bd,1.44,16.535,14.862,0.047,4.359,0.187,V
2458248.855,2018-05-10.3506709,bd,1.47,16.522,14.857,0.047,4.377,0.189,V
2458248.856,2018-05-10.3519451,bd,1.44,16.565,14.934,0.049,4.075,0.182,V
2458248.947,2018-05-10.4427113,bc,1.35,16.685,14.921,0.043,4.128,0.163,V
2458248.948,2018-05-10.4439818,bc,1.37,16.607,14.911,0.046,4.162,0.175,V
2458249.762,2018-05-11.2578384,bk,1.53,17.039,15.28,0.043,2.804,0.111,g
2458249.763,2018-05-11.2590578,bk,1.47,17.018,15.271,0.044,2.829,0.113,g
2458249.764,2018-05-11.2602751,bk,1.49,16.953,15.193,0.043,3.04,0.12,g
2458250.734,2018-05-12.2304839,bt,2.03,16.974,15.22,0.043,2.966,0.118,g
2458250.736,2018-05-12.2316989,bt,2.02,17.071,15.256,0.041,2.869,0.108,g
2458250.737,2018-05-12.2329167,bt,2.01,16.978,15.215,0.043,2.98,0.118,g
2458250.785,2018-05-12.2808244,bs,1.48,17.158,15.227,0.037,2.945,0.1,g
2458250.786,2018-05-12.2820434,bs,1.5,17.207,15.269,0.037,2.834,0.095,g
2458251.906,2018-05-13.4026023,bc,1.33,16.736,14.998,0.044,3.841,0.155,V
2458251.908,2018-05-13.4038716,bc,1.39,16.729,14.932,0.042,4.085,0.156,V
2458251.909,2018-05-13.4051481,bc,1.32,16.67,14.899,0.043,4.213,0.165,V
2458251.914,2018-05-13.4104034,bd,1.68,16.646,14.89,0.043,4.247,0.169,V
2458251.916,2018-05-13.4116818,bd,1.68,16.635,14.944,0.046,4.039,0.17,V
2458251.917,2018-05-13.4129563,bd,1.69,16.812,15.704,0.079,2.006,0.145,V
2458252.971,2018-05-14.4676758,bd,1.76,16.583,14.747,0.04,4.839,0.179,V
2458252.973,2018-05-14.4689516,bd,2.02,16.533,14.856,0.047,4.384,0.187,V
2458252.974,2018-05-14.4702274,bd,2,99.99,99.99,99.99,99.99,99.99,V
2458253.844,2018-05-15.3402479,bc,1.53,16.72,14.824,0.038,4.51,0.158,V
2458254.836,2018-05-16.3324369,bd,1.47,16.504,14.887,0.049,4.256,0.192,V
2458254.837,2018-05-16.3337056,bd,1.53,16.533,14.877,0.048,4.297,0.187,V
2458254.839,2018-05-16.3349817,bd,1.53,16.644,14.955,0.046,3.997,0.169,V
2458255.681,2018-05-17.1775219,bk,1.46,17.015,15.263,0.043,2.851,0.114,g
2458255.683,2018-05-17.1787418,bk,1.45,17.005,15.299,0.045,2.756,0.115,g
2458255.684,2018-05-17.1799592,bk,1.42,17.035,15.249,0.042,2.886,0.112,g
2458256.684,2018-05-18.1799260,bl,1.54,16.99,15.309,0.046,2.733,0.116,g
2458256.685,2018-05-18.1811461,bl,1.46,17.099,15.25,0.04,2.886,0.105,g
2458256.686,2018-05-18.1823608,bl,1.51,16.998,15.269,0.044,2.834,0.116,g
2458257.918,2018-05-19.4142726,bd,1.59,16.591,14.905,0.046,4.187,0.177,V
2458257.919,2018-05-19.4155471,bd,1.57,16.741,14.933,0.041,4.08,0.155,V
2458257.921,2018-05-19.4168232,bd,1.56,16.614,14.977,0.048,3.918,0.174,V
2458258.657,2018-05-20.1530262,bk,1.6,17.053,15.281,0.043,2.803,0.11,g
2458258.658,2018-05-20.1542475,bk,1.6,17.024,15.251,0.043,2.881,0.113,g
2458258.659,2018-05-20.1554637,bk,1.63,17.083,15.193,0.038,3.038,0.107,g
2458260.646,2018-05-22.1420030,bl,1.49,16.547,15.221,0.065,2.962,0.175,g
2458260.647,2018-05-22.1432219,bl,1.53,16.65,15.293,0.063,2.773,0.159,g
2458260.648,2018-05-22.1444383,bl,1.45,16.707,15.279,0.059,2.81,0.151,g
2458261.646,2018-05-23.1420767,bl,1.47,16.638,15.279,0.063,2.809,0.161,g
2458261.647,2018-05-23.1432902,bl,1.5,16.564,15.312,0.069,2.724,0.172,g
2458261.648,2018-05-23.1445109,bl,1.43,16.583,15.311,0.068,2.728,0.169,g
2458261.653,2018-05-23.1494966,bk,1.46,16.476,15.289,0.073,2.783,0.187,g
2458261.654,2018-05-23.1507195,bk,1.47,16.677,15.286,0.061,2.791,0.155,g
2458261.656,2018-05-23.1519390,bk,1.46,16.517,15.201,0.065,3.018,0.18,g
2458261.862,2018-05-23.3579681,bt,1.55,16.898,15.261,0.048,2.856,0.127,g
2458261.863,2018-05-23.3591893,bt,1.59,17.018,15.323,0.046,2.695,0.113,g
2458261.864,2018-05-23.3604065,bt,1.59,16.948,15.234,0.045,2.927,0.121,g
2458261.869,2018-05-23.3653885,bs,1.82,17.001,15.28,0.045,2.806,0.115,g
2458261.87,2018-05-23.3666190,bs,1.84,17.029,15.263,0.043,2.85,0.112,g
2458262.378,2018-05-23.8740674,bo,2.15,99.99,99.99,99.99,99.99,99.99,g
2458262.402,2018-05-23.8978807,bp,1.67,15.479,15.42,0.208,2.466,0.468,g
2458262.404,2018-05-23.9007184,bp,1.54,15.575,15.536,0.211,2.216,0.428,g
2458262.889,2018-05-24.3850824,bt,1.49,16.935,15.294,0.048,2.769,0.122,g
2458262.89,2018-05-24.3862881,bt,1.48,16.962,15.255,0.045,2.871,0.119,g
2458262.891,2018-05-24.3874962,bt,1.48,16.833,15.274,0.052,2.822,0.134,g
2458263.633,2018-05-25.1298615,bl,1.5,16.181,15.213,0.09,2.986,0.245,g
2458263.635,2018-05-25.1310908,bl,1.57,16.246,15.222,0.085,2.958,0.231,g
2458263.636,2018-05-25.1323092,bl,1.51,16.293,15.356,0.093,2.616,0.221,g
2458263.657,2018-05-25.1538574,bs,2.06,16.089,15.247,0.101,2.893,0.266,g
2458263.659,2018-05-25.1550771,bs,2.05,16.087,15.229,0.099,2.942,0.267,g
2458263.66,2018-05-25.1562932,bs,2.04,16.291,15.215,0.081,2.979,0.221,g
2458263.917,2018-05-25.4129591,bt,1.65,16.877,15.198,0.047,3.027,0.129,g
2458263.918,2018-05-25.4141777,bt,1.61,16.88,15.291,0.051,2.778,0.129,g
2458264.682,2018-05-26.1783026,bs,1.52,16.384,15.256,0.078,2.866,0.203,g
2458264.683,2018-05-26.1795222,bs,1.47,16.364,15.317,0.084,2.712,0.207,g
2458264.684,2018-05-26.1807449,bs,1.52,16.281,15.272,0.086,2.826,0.223,g
2458265.424,2018-05-26.9200837,bp,1.59,15.935,15.329,0.125,2.682,0.307,g
2458265.425,2018-05-26.9212984,bp,1.52,15.899,15.079,0.103,3.375,0.317,g
2458265.426,2018-05-26.9225031,bp,1.59,16.053,15.191,0.099,3.046,0.276,g
2458265.431,2018-05-26.9274415,bo,1.51,15.829,15.442,0.153,2.418,0.338,g
2458265.432,2018-05-26.9286489,bo,1.49,15.941,15.299,0.121,2.758,0.305,g
2458265.433,2018-05-26.9298560,bo,1.45,15.929,15.061,0.099,3.434,0.309,g
2458265.732,2018-05-27.2284663,bs,1.5,15.963,15.185,0.107,3.063,0.299,g
2458265.733,2018-05-27.2296814,bs,1.58,15.879,15.191,0.116,3.043,0.323,g
2458267.773,2018-05-29.26905,bt,1.58,15.902,15.029,0.098,3.536,0.317,g
2458267.774,2018-05-29.2702675,bt,1.55,15.816,15.205,0.125,3.007,0.343,g
2458267.775,2018-05-29.2714901,bt,1.62,15.895,15.49,0.151,2.312,0.319,g
2458269.751,2018-05-31.2478341,bd,1.48,16.164,14.871,0.067,4.32,0.263,V
2458269.753,2018-05-31.2491056,bd,1.49,16.195,14.904,0.067,4.189,0.255,V
2458269.754,2018-05-31.2503982,bd,1.46,16.379,14.908,0.056,4.174,0.216,V
2458269.87,2018-05-31.3669453,bc,1.48,16.2,14.908,0.067,4.175,0.254,V
2458269.872,2018-05-31.3682153,bc,1.5,16.167,14.882,0.067,4.278,0.262,V
2458269.873,2018-05-31.3694935,bc,1.47,16.242,14.868,0.062,4.336,0.245,V
2458269.929,2018-05-31.4253937,bd,1.5,16.147,15.023,0.078,3.754,0.267,V
2458269.93,2018-05-31.4266615,bd,1.5,16.192,15.013,0.074,3.792,0.256,V
2458269.931,2018-05-31.4279356,bd,1.49,16.203,14.936,0.068,4.068,0.254,V
2458270.973,2018-06-01.4696753,bc,1.57,15.397,14.99,0.151,3.871,0.533,V
2458270.974,2018-06-01.4709644,bc,1.52,15.347,14.841,0.138,4.438,0.557,V
2458270.976,2018-06-01.4722444,bc,1.4,15.326,14.645,0.117,5.321,0.568,V
2458271.702,2018-06-02.1989312,bk,1.57,16.363,15.181,0.074,3.071,0.207,g
2458271.703,2018-06-02.2001461,bk,1.55,16.3,15.192,0.079,3.042,0.22,g
2458271.705,2018-06-02.2013670,bk,1.6,16.355,15.171,0.074,3.102,0.209,g
2458271.841,2018-06-02.3379,bd,1.5,16.547,14.995,0.052,3.854,0.185,V
2458271.843,2018-06-02.3391787,bd,1.47,16.617,14.874,0.044,4.307,0.173,V
2458271.844,2018-06-02.3404629,bd,1.47,16.523,14.942,0.051,4.047,0.189,V
2458271.868,2018-06-02.3650206,bc,1.51,16.538,14.821,0.045,4.522,0.186,V
2458271.87,2018-06-02.3662901,bc,1.5,16.655,14.842,0.041,4.439,0.167,V
2458271.871,2018-06-02.3675674,bc,1.48,16.628,14.97,0.047,3.942,0.171,V
2458273.94,2018-06-04.4366730,bc,2.17,16.508,14.908,0.05,4.176,0.192,V
2458273.941,2018-06-04.4379416,bc,2.05,15.647,14.822,0.102,4.517,0.424,V
2458273.943,2018-06-04.4392386,bc,2.08,16.303,14.84,0.057,4.443,0.232,V
2458274.446,2018-06-04.9429913,bo,1.49,16.541,15.222,0.065,2.959,0.176,g
2458274.447,2018-06-04.9442101,bo,1.47,16.627,15.317,0.066,2.712,0.162,g
2458274.449,2018-06-04.9454363,bo,1.56,16.594,15.226,0.062,2.947,0.167,g
2458274.468,2018-06-04.9649968,bp,1.59,16.591,15.324,0.068,2.693,0.168,g
2458274.469,2018-06-04.9662261,bp,1.58,16.394,15.234,0.075,2.928,0.201,g
2458274.471,2018-06-04.9675101,bp,1.61,16.504,15.185,0.065,3.062,0.182,g
2458274.636,2018-06-05.1326417,bk,1.54,17.055,15.311,0.044,2.726,0.11,g
2458274.637,2018-06-05.1338638,bk,1.51,17.027,15.315,0.045,2.717,0.112,g
2458274.638,2018-06-05.1350810,bk,1.55,17.061,15.247,0.041,2.893,0.109,g
2458274.891,2018-06-05.3881722,bd,1.72,16.518,14.954,0.052,4.005,0.19,V
2458274.893,2018-06-05.3894489,bd,1.7,16.581,14.942,0.048,4.047,0.179,V
2458274.894,2018-06-05.3907297,bd,1.73,16.557,14.943,0.049,4.045,0.183,V
2458275.441,2018-06-05.9373701,bo,1.47,16.822,15.314,0.054,2.72,0.136,g
2458275.442,2018-06-05.9385865,bo,1.46,16.757,15.285,0.056,2.792,0.144,g
2458275.443,2018-06-05.9398031,bo,1.44,16.736,15.283,0.057,2.797,0.147,g
2458275.464,2018-06-05.9605567,bp,1.5,16.708,15.423,0.067,2.459,0.151,g
2458275.465,2018-06-05.9617643,bp,1.49,16.662,15.27,0.061,2.831,0.157,g
2458275.466,2018-06-05.9629678,bp,1.52,16.615,15.366,0.069,2.591,0.164,g
2458275.709,2018-06-06.2058466,bs,1.49,15.315,15.203,0.198,3.012,0.544,g
2458275.71,2018-06-06.2070618,bs,1.46,15.217,14.849,0.156,4.172,0.595,g
2458275.711,2018-06-06.2082817,bs,1.55,99.99,99.99,99.99,99.99,99.99,g
2458276.669,2018-06-07.1653523,bk,1.46,17.055,15.255,0.042,2.871,0.109,g
2458276.67,2018-06-07.1665745,bk,1.48,17.022,15.278,0.044,2.811,0.113,g
2458276.671,2018-06-07.1677932,bk,1.47,17.035,15.185,0.04,3.062,0.112,g
2458276.691,2018-06-07.1876951,bl,1.47,16.976,15.353,0.049,2.623,0.118,g
2458276.692,2018-06-07.1889103,bl,1.56,16.93,15.217,0.045,2.972,0.123,g
2458276.693,2018-06-07.1901380,bl,1.55,16.949,15.165,0.042,3.12,0.121,g
2458277.942,2018-06-08.4390285,bc,1.52,16.757,14.959,0.042,3.987,0.152,V
2458277.943,2018-06-08.4403032,bc,1.48,16.751,14.895,0.039,4.226,0.153,V
2458277.945,2018-06-08.4415800,bc,1.56,16.803,14.961,0.04,3.976,0.146,V
2458277.954,2018-06-08.4507719,bd,1.46,99.99,99.99,99.99,99.99,99.99,V
2458277.955,2018-06-08.4520483,bd,1.42,99.99,99.99,99.99,99.99,99.99,V
2458277.956,2018-06-08.4533204,bd,1.43,99.99,99.99,99.99,99.99,99.99,V
2458280.881,2018-06-11.3784872,bd,1.46,16.535,14.872,0.047,4.319,0.187,V
2458280.883,2018-06-11.3798255,bd,1.47,16.353,14.929,0.059,4.098,0.222,V
2458280.884,2018-06-11.3811035,bd,1.48,16.462,14.867,0.05,4.334,0.201,V
2458282.871,2018-06-13.3680805,bt,1.74,16.707,15.268,0.058,2.836,0.151,g
2458282.872,2018-06-13.3692956,bt,1.73,16.577,15.305,0.068,2.741,0.17,g
2458282.873,2018-06-13.3705142,bt,1.73,16.716,15.367,0.063,2.59,0.15,g
2458283.575,2018-06-14.0720667,bk,1.55,17.097,15.244,0.04,2.899,0.105,g
2458283.576,2018-06-14.0732832,bk,1.52,17.031,15.278,0.043,2.811,0.112,g
2458283.577,2018-06-14.0745006,bk,1.51,17.044,15.299,0.044,2.757,0.111,g
2458283.843,2018-06-14.3400035,bd,1.41,16.496,14.865,0.049,4.344,0.194,V
2458283.844,2018-06-14.3412818,bd,1.44,16.601,14.909,0.046,4.175,0.176,V
2458283.845,2018-06-14.3425662,bd,1.45,16.556,14.878,0.047,4.293,0.183,V
2458283.903,2018-06-14.4005755,bc,1.42,16.732,14.984,0.044,3.892,0.156,V
2458283.905,2018-06-14.4018449,bc,1.41,16.681,14.874,0.041,4.31,0.163,V
2458284.584,2018-06-15.0807369,bk,1.49,17.043,15.241,0.041,2.91,0.111,g
2458284.585,2018-06-15.0819531,bk,1.44,17.093,15.376,0.045,2.568,0.106,g
2458284.586,2018-06-15.0831718,bk,1.44,17.063,15.29,0.043,2.78,0.109,g
2458284.748,2018-06-15.2456603,bs,1.43,17.193,15.269,0.037,2.834,0.097,g
2458284.75,2018-06-15.2468741,bs,1.45,17.198,15.334,0.039,2.67,0.096,g
2458284.751,2018-06-15.2480975,bs,1.44,17.192,15.261,0.037,2.857,0.097,g
2458285.933,2018-06-16.4306189,bd,1.42,16.605,14.906,0.046,4.182,0.175,V
2458285.935,2018-06-16.4318898,bd,1.42,16.572,14.978,0.05,3.915,0.181,V
2458285.936,2018-06-16.4331640,bd,1.41,16.478,14.968,0.054,3.95,0.197,V
2458286.76,2018-06-17.2576626,bc,1.76,16.605,14.898,0.045,4.212,0.175,V
2458286.762,2018-06-17.2589396,bc,1.71,16.586,14.929,0.047,4.096,0.178,V
2458286.763,2018-06-17.2602269,bc,1.69,16.62,14.859,0.043,4.368,0.173,V
2458287.322,2018-06-17.8188347,bo,1.74,16.594,15.376,0.071,2.568,0.168,g
2458287.546,2018-06-18.0437646,bk,1.55,16.939,15.278,0.047,2.809,0.122,g
2458287.548,2018-06-18.0449887,bk,1.49,16.967,15.291,0.047,2.779,0.119,g
2458287.549,2018-06-18.0462061,bk,1.52,16.833,15.212,0.049,2.987,0.134,g
2458287.591,2018-06-18.0884090,bl,1.57,17.068,15.298,0.043,2.759,0.108,g
2458287.592,2018-06-18.0896237,bl,1.56,16.998,15.368,0.049,2.588,0.115,g
2458287.594,2018-06-18.0908424,bl,1.55,17.009,15.315,0.046,2.715,0.114,g
2458287.798,2018-06-18.2956718,bt,1.5,16.982,15.207,0.043,3.001,0.117,g
2458287.8,2018-06-18.2968859,bt,1.5,17.013,15.28,0.044,2.808,0.114,g
2458287.801,2018-06-18.2981018,bt,1.48,17.028,15.263,0.043,2.848,0.112,g
2458287.877,2018-06-18.3746163,bc,1.75,16.625,14.932,0.046,4.083,0.172,V
2458287.879,2018-06-18.3758922,bc,1.79,16.659,14.821,0.04,4.522,0.167,V
2458287.88,2018-06-18.3771655,bc,1.76,16.64,14.865,0.043,4.343,0.17,V
2458288.67,2018-06-19.1675005,bl,1.47,17.054,15.314,0.044,2.718,0.11,g
2458288.671,2018-06-19.1687197,bl,1.47,17.086,15.339,0.044,2.657,0.106,g
2458288.673,2018-06-19.1699415,bl,1.47,17.03,15.24,0.042,2.912,0.112,g
2458289.671,2018-06-20.1682334,bl,1.44,16.761,15.26,0.055,2.857,0.144,g
2458289.672,2018-06-20.1694480,bl,1.44,16.791,15.23,0.052,2.937,0.14,g
2458289.673,2018-06-20.1706623,bl,1.51,16.803,15.207,0.05,3.001,0.138,g
2458289.824,2018-06-20.3209583,bs,1.46,99.99,99.99,99.99,99.99,99.99,g
2458289.825,2018-06-20.3221756,bs,1.48,99.99,99.99,99.99,99.99,99.99,g
2458289.826,2018-06-20.3234024,bs,1.5,17.164,15.303,0.039,2.746,0.099,g
2458290.293,2018-06-20.7899660,bo,1.55,16.453,15.257,0.073,2.867,0.191,g
2458290.294,2018-06-20.7911839,bo,1.6,16.485,15.226,0.069,2.947,0.185,g
2458290.295,2018-06-20.7923979,bo,1.59,16.639,15.433,0.072,2.436,0.16,g
2458290.316,2018-06-20.8133876,bp,1.55,16.671,15.299,0.062,2.756,0.156,g
2458290.317,2018-06-20.8146031,bp,1.56,16.683,15.201,0.056,3.016,0.154,g
2458290.845,2018-06-21.3423188,bt,1.5,16.993,15.3,0.046,2.753,0.116,g
2458290.846,2018-06-21.3435420,bt,1.49,16.845,15.197,0.048,3.028,0.133,g
2458290.847,2018-06-21.3447596,bt,1.49,17.055,15.284,0.043,2.796,0.11,g
2458291.298,2018-06-21.7958637,bo,1.59,16.368,15.318,0.083,2.709,0.206,g
2458291.3,2018-06-21.7975076,bo,1.62,16.456,15.206,0.069,3.002,0.19,g
2458291.301,2018-06-21.7989600,bo,1.54,16.509,15.496,0.086,2.299,0.181,g
2458291.314,2018-06-21.8110547,bp,1.54,16.432,15.244,0.073,2.9,0.194,g
2458291.315,2018-06-21.8129331,bp,1.58,16.489,15.216,0.068,2.977,0.184,g
2458291.317,2018-06-21.8148799,bp,1.61,16.514,15.322,0.073,2.697,0.18,g
2458291.821,2018-06-22.3187641,bs,1.59,16.62,15.39,0.07,2.535,0.163,g
2458291.822,2018-06-22.3199723,bs,1.6,16.687,15.308,0.061,2.734,0.154,g
2458291.824,2018-06-22.3211888,bs,1.56,16.554,15.358,0.073,2.612,0.174,g
2458291.921,2018-06-22.4186655,bd,1.5,16.203,14.863,0.064,4.35,0.254,V
2458291.922,2018-06-22.4199471,bd,1.55,16.248,14.991,0.069,3.867,0.243,V
2458291.924,2018-06-22.4212123,bd,1.56,16.246,14.734,0.054,4.9,0.244,V
2458292.321,2018-06-22.8187002,bp,1.58,16.283,15.321,0.09,2.703,0.223,g
2458292.353,2018-06-22.8500864,bo,1.74,16.169,15.119,0.083,3.253,0.248,g
2458292.354,2018-06-22.8518140,bo,1.79,16.222,15.288,0.093,2.784,0.236,g
2458293.528,2018-06-24.0257634,bk,1.5,16.107,15.427,0.117,2.451,0.262,g
2458293.529,2018-06-24.0269900,bk,1.54,15.993,15.353,0.122,2.623,0.291,g
2458293.531,2018-06-24.0282200,bk,1.52,16.045,15.325,0.113,2.69,0.277,g
2458293.698,2018-06-24.1956597,bs,1.47,16.483,15.33,0.076,2.677,0.185,g
2458293.699,2018-06-24.1968787,bs,1.49,16.507,15.339,0.075,2.659,0.181,g
2458293.7,2018-06-24.1980960,bs,1.49,16.479,15.481,0.087,2.33,0.186,g
2458294.398,2018-06-24.8961576,bo,2.05,14.884,>14.884,99.99,1.848,0.808,g
2458294.401,2018-06-24.8985920,bo,1.6,14.842,>14.842,99.99,3.401,0.841,g
2458294.543,2018-06-25.0406070,bk,2.27,15.84,15.198,0.121,3.025,0.335,g
2458294.544,2018-06-25.0418267,bk,2.23,15.794,15.2,0.127,3.019,0.35,g
2458294.545,2018-06-25.0430440,bk,2.19,15.87,15.092,0.107,3.338,0.326,g
2458294.565,2018-06-25.0630156,bl,2.11,15.94,15.166,0.107,3.117,0.306,g
2458294.567,2018-06-25.0642387,bl,2.12,15.958,15.295,0.119,2.768,0.301,g
2458294.568,2018-06-25.0654571,bl,2.08,16.005,15.19,0.103,3.05,0.288,g
2458294.781,2018-06-25.2788539,bt,1.55,16.058,15.417,0.121,2.472,0.274,g
2458294.782,2018-06-25.2800668,bt,1.5,16.125,15.353,0.108,2.625,0.258,g
2458295.539,2018-06-26.0371894,bl,1.56,15.929,15.106,0.103,3.293,0.309,g
2458295.541,2018-06-26.0384105,bl,1.57,15.869,15.01,0.099,3.596,0.326,g
2458295.542,2018-06-26.0396276,bl,1.56,15.979,15.135,0.101,3.207,0.295,g
2458295.812,2018-06-26.3101246,bc,2.01,99.99,99.99,99.99,99.99,99.99,V
2458295.814,2018-06-26.3113998,bc,1.82,99.99,99.99,99.99,99.99,99.99,V
2458295.815,2018-06-26.3126738,bc,2.06,99.99,99.99,99.99,99.99,99.99,V
2458295.833,2018-06-26.3303048,bt,1.59,15.745,15.293,0.144,2.771,0.366,g
